Fecha,Titular,Resumen,URL,Seccion,Desk,Tipo,Autor,Fuente,Relevante,Puntuacion
2025-11-27,Amplience Enhances Retail Content Experiences with Amazon Q Business Integration,"New integration connects multiple data sources to the generative AI capabilities of Amplience Workforce. LONDON and NEW YORK, Nov. 27, 2025 /PRNewswire/ -- Amplience, the Cognitive CMS Platform, today announced a new solution integrating Amazon Q Business, extending its strategic partnership with AWS to power the next generation content supply chain.Amplience Logo (PRNewsfoto/AMPLIENCE (UK) LIMITED) Agility and scala",https://finance.yahoo.com/news/amplience-enhances-retail-content-experiences-110000064.html,finance.yahoo.com,,Article,,EODHD,Si,5
2025-11-27,"Amazon Enters Correction Zone—Time to Panic, or to Load Up?","Investor holds smartphone with Amazon stock trading view displayed. Key Points Amazon has fallen into correction territory after dropping more than 15% from its all-time high earlier this month. Yet buyers are already stepping back in, with shares up more than 6% from last week’s lows. Analysts remain almost universally confident, calling the move a reset rather than the start of a reversal. Interested in Amazon.com,",https://finance.yahoo.com/news/amazon-enters-correction-zone-time-140400096.html,finance.yahoo.com,,Article,,EODHD,Si,1
2025-11-28,"More than 1,000 Amazon workers warn rapid AI rollout threatens jobs and climate","Workers say the firm’s ‘warp-speed’ approach fuels pressure, layoffs and rising emissions",https://www.theguardian.com/technology/2025/nov/28/amazon-ai-climate-change,Technology,,Article,Varsha Bansal,Guardian,Si,-6
2025-11-28,"Amazon.com, Inc. (AMZN) Strengthens AI Momentum with HCLTech Partnership","Amazon.com Inc. (NASDAQ:AMZN) is one of the AI stocks analysts are betting on. HCLTech announced a new partnership with Amazon Web Services on November 25, aimed at speeding up innovation in the financial services sector. By combining HCLTech’s industry expertise with AWS’s cloud and AI capabilities, the two companies plan to help banks and insurers modernize outdated systems, improve customer experience, and meet re",https://finance.yahoo.com/news/amazon-com-inc-amzn-strengthens-062131403.html,finance.yahoo.com,,Article,,EODHD,Si,6
2025-11-28,German warehouse employees strike on Black Friday as part of 'Make Amazon Pay' day,"[Amazon Office Building] hapabapa Amazon (AMZN [https://seekingalpha.com/symbol/AMZN]) employees at nine German warehouses were on strike on Black Friday, seeking a collective bargaining agreement and better wages from the e-commerce giant, Reuters reported Friday. Services union Verdi says approximately 3,000 German workers were on strike at Amazon’s (AMZN [https://seekingalpha.com/symbol/AMZN]) facilities, includin",https://seekingalpha.com/news/4526514-german-warehouse-employees-strike-on-black-friday-as-part-of-make-amazon-pay-day?utm_source=feed_news_all&amp;utm_medium=referral&amp;feed_item_type=news,seekingalpha.com,,Article,,EODHD,Si,-5
2025-11-28,Shorting Secured Out-of-the-Money Amazon Puts Works Here,"Last month, I recommended shorting the Amazon, Inc. (AMZN) $235.00 strike price put option expiring today for a 1.36% yield over the month. It makes sense now to roll this put AMZN option over to the next month, as it might expire in the money. AMZN is trading at $232.03 in late trading today, as the market closes early. This is up from a recent low of $217.14 on Nov. 20. More News from Barchart Have You Heard of the",https://finance.yahoo.com/news/shorting-secured-money-amazon-puts-164107037.html,finance.yahoo.com,,Article,,EODHD,Si,-2
2025-11-29,Amazon Is Turning Its Cloud Business Into an Artificial Intelligence Growth Engine,"Key Points Amazon’s cloud unit, AWS, recently reported its fastest growth rate in 11 quarters. AWS offers customers a broad range of products and services for just about any AI project. 10 stocks we like better than Amazon › When you think of Amazon(NASDAQ: AMZN), you may first think of shopping. After all, the company is an e-commerce giant that many of us turn to on a daily basis for groceries, essentials, and even",https://finance.yahoo.com/news/amazon-turning-cloud-business-artificial-131000052.html,finance.yahoo.com,,Article,,EODHD,Si,8
2025-12-01,Elastic Brings Observability to AI Agents with Amazon Bedrock AgentCore,"Developers gain end-to-end monitoring, optimization and troubleshooting for AI Agents deployed with Amazon Bedrock AgentCore SAN FRANCISCO, December 01, 2025--(BUSINESS WIRE)--Elastic (NYSE: ESTC), the Search AI Company, today announced a new integration for Amazon Bedrock AgentCore that brings observability for AI agents and applications directly into the Elasticsearch platform. The integration allows site reliabili",https://finance.yahoo.com/news/elastic-brings-observability-ai-agents-140500813.html,finance.yahoo.com,,Article,,EODHD,Si,5
2025-12-01,Analysts Remain Optimistic for Amazon.com (AMZN),"We recently published 12 Best Consumer Cyclical Stocks to Buy According to Analysts. Amazon.com, Inc. (NASDAQ:AMZN) is one of the best consumer cyclical stocks. eCommerce giant Amazon.com, Inc. (NASDAQ:AMZN) is also a key player in the AI ecosystem. The firm has a partnership with AI firm Anthropic, and it dabbles in AI through its AWS cloud business and in-house AI chips. As of November 28th, 48 out of the 67 analys",https://finance.yahoo.com/news/analysts-remain-optimistic-amazon-com-185620347.html,finance.yahoo.com,,Article,,EODHD,Si,5
2025-12-01,Amazon and Google Unveil Joint Multicloud Connectivity Service,"This article first appeared on GuruFocus. Amazon (AMZN, Financials) and Google introduced a co-developed multicloud networking service designed to help customers establish private, high-speed connections between the companies' cloud platforms. The initiative responds to rising demand for uninterrupted connectivity at a time when even brief disruptions can trigger significant business losses. Warning! GuruFocus has de",https://finance.yahoo.com/news/amazon-google-unveil-joint-multicloud-123441302.html,finance.yahoo.com,,Article,,EODHD,Si,7
2025-12-01,Rubrik Drives Trusted AI Adoption with Amazon Bedrock,"New Rubrik Agent Cloud integration automatically discovers AI agents built on Amazon Bedrock, providing unified visibility, governance, and surgical rollback across their resources Rubrik achieves AWS Resilience Competency for Recovery LAS VEGAS, December 01, 2025--(BUSINESS WIRE)--Today at AWS re:Invent 2025, Rubrik (NYSE: RBRK), the Security and AI Operations company, announced Rubrik Agent Cloud for Amazon Bedrock",https://finance.yahoo.com/news/rubrik-drives-trusted-ai-adoption-140000038.html,finance.yahoo.com,,Article,,EODHD,Si,5
2025-12-01,Trane Technologies and AWS Collaborate to Accelerate Energy Efficiency and Building Decarbonization across Amazon Grocery Fulfillment Centers in North America,"SWORDS, Ireland, December 01, 2025--(BUSINESS WIRE)--Trane Technologies (NYSE:TT), a global climate innovator, and Amazon (NASDAQ: AMZN) announce groundbreaking results through advanced AI to improve energy efficiency and decarbonization in key real estate assets. The project, powered by Trane Technologies through BrainBox AI, in conjunction with AWS, showcases a successful collaboration in building decarbonization, ",https://finance.yahoo.com/news/trane-technologies-aws-collaborate-accelerate-140000306.html,finance.yahoo.com,,Article,,EODHD,Si,6
